English,Chinese,PartOfSpeech,type,Class,Semester,Unit,Page,VocabularyId,ConceptId,ContentKind,AudioText,AcceptedAnswers,QuizModes,ExampleSentence,ExampleChinese,ExampleStatus,BaseForm,PastTense,PastParticiple,FullForm,ShortForm,RelationType,RelatedTerms,SingularForm,PluralForm,ClozePrompt,ClozeAnswer,NeedsReview,ReviewNotes,SourceKind,SourceFile,SourceImage,OCRConfidence
welcome party,歡迎派對,noun,phrase,Class 3,Second Semester,U3,p.24,way_to_go_11-2cf89d42e0c3,concept-38c361804aa3,phrase,welcome party,welcome party,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_11_vocabulary_import.csv,,
guess,猜測,verb,word,Class 3,Second Semester,U3,p.24,way_to_go_11-83efbf3f979f,concept-8a17a9111a0d,word,guess,guess,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_11_vocabulary_import.csv,,
stay up,熬夜（做某事）,verb_phrase,phrase,Class 3,Second Semester,U3,p.24,way_to_go_11-cc8e7dfd0163,concept-c4b965b2016c,phrase,stay up,stay up,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_11_vocabulary_import.csv,,
called,被稱作……的,adjective,word,Class 3,Second Semester,U3,p.24,way_to_go_11-25ae87cad808,concept-a02415b6c3f8,word,called,called,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_11_vocabulary_import.csv,,
late,晚些,adverb,word,Class 3,Second Semester,U3,p.24,way_to_go_11-3ee68131efed,concept-b8b2fde81d21,word,late,late,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_11_vocabulary_import.csv,,
receive,收到,verb,word,Class 4,Second Semester,U3,p.25,way_to_go_11-0a9b6a2eae80,concept-982b475524f0,word,receive,receive,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_11_vocabulary_import.csv,,
get hurt,受傷,verb_phrase,phrase,Class 4,Second Semester,U3,p.25,way_to_go_11-7a53cb5bf376,concept-8c53863bd613,phrase,get hurt,get hurt,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_11_vocabulary_import.csv,,
roller skate,穿輪式溜冰鞋溜冰,verb_phrase,phrase,Class 4,Second Semester,U3,p.25,way_to_go_11-32b65368579a,concept-ce3e3a904e33,phrase,roller skate,roller skate,en_zh_choice|zh_en_choice|listening|spelling,We roller skate in the park.,我們在公園裡溜直排輪。,curated,,,,,,,,,,,,No,,existing_csv,way_to_go_11_vocabulary_import.csv,,
roller skating,穿輪式溜冰鞋溜冰,noun,phrase,Class 4,Second Semester,U3,p.25,way_to_go_11-4b8dde2a5e8f,concept-f126016edbe6,phrase,roller skating,roller skating,en_zh_choice|zh_en_choice|listening|spelling,Roller skating is fun.,溜直排輪很好玩。,curated,,,,,,,,,,,,No,,existing_csv,way_to_go_11_vocabulary_import.csv,,
roller skates,輪式溜冰鞋（常用複數）,noun,word,Class 4,Second Semester,U3,p.25,way_to_go_11-7544acd34aaa,concept-c7b68b148a2c,word,roller skates,roller skates,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_11_vocabulary_import.csv,,
in the end,最後；終於,adverb_phrase,phrase,Class 4,Second Semester,U3,p.25,way_to_go_11-bcb9c99c7b83,concept-7fe6b79818c8,phrase,in the end,in the end,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_11_vocabulary_import.csv,,
proud of,為……而驕傲,adjective_phrase,phrase,Class 4,Second Semester,U3,p.25,way_to_go_11-256aaf420562,concept-ead04e49ede9,phrase,proud of,proud of,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_11_vocabulary_import.csv,,
on one's own = by oneself,獨自,adverb_phrase,phrase,Class 4,Second Semester,U3,p.25,way_to_go_11-8853678a4605,concept-57c19925edd6,phrase,on one's own = by oneself,on one's own = by oneself,en_zh_choice|zh_en_choice|listening,She finished the work on her own.,她獨自完成了工作。,curated,,,,,,,,,,,,No,詞性已確認為副詞片語。,existing_csv,way_to_go_11_vocabulary_import.csv,,
Africa,非洲,noun,word,Class 5,Second Semester,U4,p.26,way_to_go_11-980b5d2e13f9,concept-cfa9daff5f37,word,Africa,Africa,en_zh_choice|zh_en_choice|listening|spelling,,,missing,,,,,,,,,,,,No,,existing_csv,way_to_go_11_vocabulary_import.csv,,
